id,surface,kind,requirement,source,disposition,implementation,before,after,guard,owner
portfolio.export,portfolio,DOMAIN_COMMAND,Exported stale/unavailable members retain status and provenance,bigboss/O05/surfaces/portfolio.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,members resolvable or explicitly missing,export receipt with pinned refs and limitations,No undisclosed source or authority claim,W04PortfolioDomain
portfolio.group,portfolio,DOMAIN_COMMAND,Unknown example label never becomes canonical group ID,bigboss/O05/surfaces/portfolio.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,grouping=REGISTRY_BOUND,membership grouped,Exact approved registry and grouping authority required,W04PortfolioDomain
processing.INV.1,processing,DOMAIN_INVARIANT,cancel_requested differs from cancelled,bigboss/O05/surfaces/processing.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
processing.INV.2,processing,DOMAIN_INVARIANT,"Retry creates new Attempt, not overwriting failed attempt",bigboss/O05/surfaces/processing.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
processing.INV.3,processing,DOMAIN_INVARIANT,Input/correlation/request/job/attempt IDs distinct,bigboss/O05/surfaces/processing.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
processing.INV.4,processing,DOMAIN_INVARIANT,Validation handoff waits for actual consumer receipt,bigboss/O05/surfaces/processing.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
processing.inspect,processing,DOMAIN_COMMAND,Two retries display three distinct attempts,bigboss/O05/surfaces/processing.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,job any,attempt history and correlation visible,Read authorization,W05ProcessingDomain
processing.retry,processing,DOMAIN_COMMAND,Repeated retry key yields one attempt; failed attempt immutable,bigboss/O05/surfaces/processing.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,job=FAILED|TIMED_OUT|RETRY_WAIT,job=RETRY_WAIT then RUNNING on new lease,Retry ceiling/backoff and same input digest; idempotent request,W05ProcessingDomain
processing.requestCancel,processing,DOMAIN_COMMAND,No ACK means no cancelled_at claim,bigboss/O05/surfaces/processing.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,job active,job=CANCEL_REQUESTED; CANCELLED only after ACK or proven no running lease,Server/provider confirms actual stop semantics,W05ProcessingDomain
processing.validationHandoff,processing,DOMAIN_COMMAND,Consumer outage retains pending outbox and never says technically valid,bigboss/O05/surfaces/processing.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,job=COMPLETED,validationHandoff=PENDING then ACKNOWLEDGED,Artifact digest bound and consumer deduplicates,W05ProcessingDomain
releases.INV.1,releases,DOMAIN_INVARIANT,PUSH/CI PASS is not acceptance,bigboss/O05/surfaces/releases.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
releases.INV.2,releases,DOMAIN_INVARIANT,Authorization is not deployment,bigboss/O05/surfaces/releases.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
releases.INV.3,releases,DOMAIN_INVARIANT,Candidate A evidence cannot authorize B,bigboss/O05/surfaces/releases.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
releases.INV.4,releases,DOMAIN_INVARIANT,No release/deploy execution authorized by this design packet,bigboss/O05/surfaces/releases.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
releases.inspect,releases,DOMAIN_COMMAND,CI pass does not change authorization or deployment,bigboss/O05/surfaces/releases.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,candidate any,separate readiness/authority/deployment,Exact candidate ID/hash,W05ReleaseDomain
releases.compare,releases,DOMAIN_COMMAND,Latest alias mutation cannot change comparison pair,bigboss/O05/surfaces/releases.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,two candidates selected,exact pair delta,Both identities resolved before diff,W05ReleaseDomain
releases.plan,releases,DOMAIN_COMMAND,Technical plan creates no authorization/deployment,bigboss/O05/surfaces/releases.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,candidate=ASSEMBLED|TECHNICALLY_READY,readiness record only,Evidence binds exact candidate and method,W05ReleaseDomain
releases.requestAuthorization,releases,DOMAIN_COMMAND,Request receipt leaves deployment=NOT_DEPLOYED,bigboss/O05/surfaces/releases.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,candidate=TECHNICALLY_READY and authorization=NONE,authorization=REQUESTED,Real Parent/Owner path; no inferred approval,W05ReleaseDomain
results.INV.1,results,DOMAIN_INVARIANT,Replay does not execute simulator,bigboss/O05/surfaces/results.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
results.INV.2,results,DOMAIN_INVARIANT,Determinism verification is a separate new execution linked to original,bigboss/O05/surfaces/results.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
results.INV.3,results,DOMAIN_INVARIANT,AAR cannot rewrite fact store,bigboss/O05/surfaces/results.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
results.INV.4,results,DOMAIN_INVARIANT,Candidate Evidence handoff does not perform W04 admission,bigboss/O05/surfaces/results.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
results.INV.5,results,DOMAIN_INVARIANT,Historical terminal bytes render as inert text,bigboss/O05/surfaces/results.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
results.replay,results,DOMAIN_COMMAND,Simulator execute invocation count remains zero during replay,bigboss/O05/surfaces/results.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,replay=IDLE|PAUSED|PLAYING,"same immutable result, new cursor",Cursor belongs to exact result revision,W03ResultsDomain
results.step,results,DOMAIN_COMMAND,Gap cannot be silently bridged with reconstructed event,bigboss/O05/surfaces/results.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,replay=PAUSED|GAP,next recorded event or explicit gap,Sequence defined by recorded stream; do not infer causality from wall clock,W03ResultsDomain
results.compare,results,DOMAIN_COMMAND,Changing latest result alias leaves selected pair unchanged,bigboss/O05/surfaces/results.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,compare=EXACT,diff + excluded/missing schema facts,Exact refs and comparator compatibility,W03ResultsDomain
results.annotate,results,DOMAIN_COMMAND,AAR edit changes analysis digest only; result/event digest identical,bigboss/O05/surfaces/results.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,aar=DRAFT|SAVED,aar=SAVED or CONFLICT,Event refs immutable; expected analysis version CAS,W03ResultsDomain
results.handoff,results,DOMAIN_COMMAND,W04 Evidence row count unchanged until explicit intake/admission,bigboss/O05/surfaces/results.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,result=SEALED_COMPLETE|SEALED_PARTIAL,handoff envelope available; W04 intake and admission remain distinct,Source refs/digests and limitations complete,W03ResultsDomain
results.verifyDeterminism,results,DOMAIN_COMMAND,Original historical replay remains read-only; new run ID distinct,bigboss/O05/surfaces/results.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,result sealed,new verification run and comparison record,Pinned rules/input retained; explicit execution capability,W03ResultsDomain
reviews.INV.1,reviews,DOMAIN_INVARIANT,Finding is not Decision,bigboss/O05/surfaces/reviews.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
reviews.INV.2,reviews,DOMAIN_INVARIANT,Open re-review does not erase prior effective Decision,bigboss/O05/surfaces/reviews.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
reviews.INV.3,reviews,DOMAIN_INVARIANT,Actor display label is not institutional reviewer authority,bigboss/O05/surfaces/reviews.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
reviews.INV.4,reviews,DOMAIN_INVARIANT,"Review criteria are pinned at request, not latest policy alias",bigboss/O05/surfaces/reviews.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
reviews.review,reviews,DOMAIN_COMMAND,Personal owner identity never implies invented institutional authority,bigboss/O05/surfaces/reviews.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,review absent/requested,REQUESTED or ASSIGNED,Reviewer actor exists; assignment permission independently checked,W04ReviewDomain
reviews.finding,reviews,DOMAIN_COMMAND,Adding Finding creates no effective Decision,bigboss/O05/surfaces/reviews.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,review=ASSIGNED|IN_REVIEW,review=IN_REVIEW; new Finding,Finding criterion within pinned scope or explicitly out-of-scope,W04ReviewDomain
reviews.compare,reviews,DOMAIN_COMMAND,Compare route does not silently replace review EvidenceRef,bigboss/O05/surfaces/reviews.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,review=IN_REVIEW,comparison working state only,Exact pair; formal review basis remains pinned,W04ReviewDomain
reviews.supersede,reviews,DOMAIN_COMMAND,Concurrent Decisions cause one conflict; open re-review never clears effective pointer,bigboss/O05/surfaces/reviews.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,review=IN_REVIEW; prior Decision may be effective,review=DECIDED; old Decision retained,Server verifies reviewer authority and exact current effective Decision CAS,W04ReviewDomain
rq.INV.1,rq,DOMAIN_INVARIANT,Working review does not assign W04 reviewer authority,bigboss/O05/surfaces/rq.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
rq.INV.2,rq,DOMAIN_INVARIANT,Compare pair pins both revisions,bigboss/O05/surfaces/rq.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
rq.INV.3,rq,DOMAIN_INVARIANT,Rationale is analysis; source authority is source metadata,bigboss/O05/surfaces/rq.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
rq.INV.4,rq,DOMAIN_INVARIANT,979/431 rows remain derived claims outside this packet,bigboss/O05/surfaces/rq.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
rq.search,rq,DOMAIN_COMMAND,Excluded source remains traceable and can be included explicitly,bigboss/O05/surfaces/rq.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,mode=CLAIMS,filtered relation table with inclusion reasons,Filter schema/domain collation validated,ResearchQualityDomain
rq.compare,rq,DOMAIN_COMMAND,Swapping pair reverses direction labels without rewriting either source,bigboss/O05/surfaces/rq.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,pair=EXACT,comparison shows content and relation deltas,Both revisions available and type-compatible,ResearchQualityDomain
rq.review,rq,DOMAIN_COMMAND,Save conflict creates zero EvidenceDecision rows,bigboss/O05/surfaces/rq.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,analysis=WORKING,working conflict saved with author and revision,Research analysis write permission; never ReviewDecisionCommand,ResearchQualityDomain
rq.provenance,rq,DOMAIN_COMMAND,"Missing original bytes yields DERIVED_ONLY, never original-hash assertion",bigboss/O05/surfaces/rq.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,mode any,"source, authority, locator and revision displayed",Exact source identity; mark derived versus original,ResearchQualityDomain
runs.INV.1,runs,DOMAIN_INVARIANT,Run never writes authored definitions,bigboss/O05/surfaces/runs.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
runs.INV.2,runs,DOMAIN_INVARIANT,Request states require provider ACK before terminal lifecycle change,bigboss/O05/surfaces/runs.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
runs.INV.3,runs,DOMAIN_INVARIANT,Retries use invocation digest and expected aggregate version,bigboss/O05/surfaces/runs.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
runs.INV.4,runs,DOMAIN_INVARIANT,Provider loss is not Run completion,bigboss/O05/surfaces/runs.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
runs.INV.5,runs,DOMAIN_INVARIANT,Preflight READY expires when input or provider epoch changes,bigboss/O05/surfaces/runs.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
runs.prepare,runs,DOMAIN_COMMAND,Changing source latest cannot alter frozen manifest; mismatch blocks start,bigboss/O05/surfaces/runs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,run=PREPARING,READY or BLOCKED,Canonical deterministic manifest encoding and all dependency digests,W03RunDomain
runs.start,runs,DOMAIN_COMMAND,Duplicate start returns same run; changed payload same key yields 409,bigboss/O05/surfaces/runs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,run=READY,STARTING then RUNNING only with ACK,Unexpired preflight bound to inputDigest/providerEpoch; unique invocation,W03RunDomain
runs.operate,runs,DOMAIN_COMMAND,Stop request without provider ACK never reports STOPPED,bigboss/O05/surfaces/runs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,run=RUNNING|PAUSED,pause→PAUSE_REQUESTED; resume→RESUME_REQUESTED; stop→STOP_REQUESTED; ACK decides resulting state,Provider capability supports operation and session lease current,W03RunDomain
runs.terminal,runs,DOMAIN_COMMAND,Expired lease rejects input; detach does not terminate whole run,bigboss/O05/surfaces/runs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,run=RUNNING and provider=CONNECTED,session IO receipts and causal event refs,Server authenticates actor/run/device and lease; input bytes not executable by browser host,W03RunDomain
runs.inspect,runs,DOMAIN_COMMAND,Out-of-order/gapped stream visible; no invented causal sequence,bigboss/O05/surfaces/runs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,any run state,observed trace and gap markers,Actor can read run; cursor belongs to run,W03RunDomain
runs.seal,runs,DOMAIN_COMMAND,"Repeated seal returns same Result; late data uses declared supplement revision, never rewrite",bigboss/O05/surfaces/runs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,run terminal and streams reconciled,immutable Result identity with terminal outcome and completeness flag,No pending output hidden; gap declaration explicit; idempotent result per run revision,W03RunDomain
scenarios.INV.1,scenarios,DOMAIN_INVARIANT,"Scenario is portable, not an Enterprise copy",bigboss/O05/surfaces/scenarios.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
scenarios.INV.2,scenarios,DOMAIN_INVARIANT,Lab reference pins reusable definition revision,bigboss/O05/surfaces/scenarios.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
scenarios.INV.3,scenarios,DOMAIN_INVARIANT,Environment requirements are distinct from resolved deployment binding,bigboss/O05/surfaces/scenarios.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
scenarios.INV.4,scenarios,DOMAIN_INVARIANT,Published revision source remains unchanged by Run,bigboss/O05/surfaces/scenarios.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
scenarios.author,scenarios,DOMAIN_COMMAND,Reorder preserves stable phase/module IDs and portable Lab refs,bigboss/O05/surfaces/scenarios.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,definition=DRAFT|DIRTY,definition=DIRTY,Scenario adapter checks module/task shape; no learning lock semantics,W03ScenarioDomain
scenarios.validate,scenarios,DOMAIN_COMMAND,"Missing required network capability yields explicit blocker, not generic failed status",bigboss/O05/surfaces/scenarios.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,binding=UNBOUND,COMPATIBLE or INCOMPATIBLE with requirement-level results,Validate exact contract digest; no runtime provisioning,W03ScenarioDomain
scenarios.revise,scenarios,DOMAIN_COMMAND,Published Scenario digest unchanged,bigboss/O05/surfaces/scenarios.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,definition=PUBLISHED,definition=DRAFT with source lineage,Exact source revision and mutable successor,W03ScenarioDomain
scenarios.prepare,scenarios,DOMAIN_COMMAND,Changing Lab latest after prepare does not change prepared input,bigboss/O05/surfaces/scenarios.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,definition=PUBLISHED and binding=COMPATIBLE,preparation receipt with immutable input manifest,All nested Lab refs exact; contract and binding compatibility current,W03ScenarioDomain
shell.INV.1,shell,DOMAIN_INVARIANT,Route state is not preference or domain state,bigboss/O05/surfaces/shell.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
shell.INV.2,shell,DOMAIN_INVARIANT,PERSONAL_LOCAL_SINGLE_OWNER; no server authorization requirement,bigboss/O05/surfaces/shell.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
shell.INV.3,shell,DOMAIN_INVARIANT,Navigation composition REOPENED; destination count not silently frozen,bigboss/O05/surfaces/shell.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
shell.navigate,shell,DOMAIN_COMMAND,Back restores exact origin and scroll without duplicating domain stores,bigboss/O05/surfaces/shell.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,navigation=IDLE|ACTIVE,navigation=ACTIVE and heading receives focus,One of five destinations; destination read authorization,GlobalShellDomain
shell.recover,shell,DOMAIN_COMMAND,"Missing bookmark falls back to destination heading, not fabricated object",bigboss/O05/surfaces/shell.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,navigation=FAILED|NOT_FOUND,navigation=ACTIVE or explicit NOT_FOUND,Bookmark is actor-scoped and contains no secrets,GlobalShellDomain
shell.search,shell,DOMAIN_COMMAND,Visible trigger and keyboard route open same command registry once,bigboss/O05/surfaces/shell.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,palette closed,palette open and search focused,No active IME composition; remappable binding,GlobalShellDomain
shell.leaveDirty,shell,DOMAIN_COMMAND,Failed save keeps text and old route; preserve is explicit,bigboss/O05/surfaces/shell.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,dirtyDeparture=CHOICE_REQUIRED,cancel retains route; save awaits owner ACK; preserve retains recovery draft,Never discard implicitly; save failure prevents requested save-and-leave,GlobalShellDomain
today.INV.1,today,DOMAIN_INVARIANT,No Today canonical domain writes,bigboss/O05/surfaces/today.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
today.INV.2,today,DOMAIN_INVARIANT,Progress is a projection; Mastery is W04-owned,bigboss/O05/surfaces/today.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
today.INV.3,today,DOMAIN_INVARIANT,Recommendations never grant or deny access,bigboss/O05/surfaces/today.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
today.resume,today,DOMAIN_COMMAND,Opening incomplete future activity preserves progress and return bookmark,bigboss/O05/surfaces/today.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,continuation=RESOLVABLE,target route active; origin context retained,Target exists and actor can read target; do not test progress,TodayOrchestration
today.refresh,today,DOMAIN_COMMAND,"Failed queue provider and successful recent provider produce PARTIAL, not EMPTY",bigboss/O05/surfaces/today.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,projection any,projection merges successful and failed observations independently,Authenticated actor injected by server,TodayOrchestration
today.filter,today,DOMAIN_COMMAND,Filter hiding all cards reports filtered-empty; source totals unchanged,bigboss/O05/surfaces/today.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,cards visible,filtered projection with total and visible counts,Filter only recognized projection kinds,TodayOrchestration
today.why,today,DOMAIN_COMMAND,Missing rationale renders unavailable and never fabricates unlock logic,bigboss/O05/surfaces/today.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,recommendation selected,source/rationale panel open,Exact recommendation version still resolvable,TodayOrchestration
validation.INV.1,validation,DOMAIN_INVARIANT,Technical validity is not admission/review/mastery,bigboss/O05/surfaces/validation.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
validation.INV.2,validation,DOMAIN_INVARIANT,Validation findings not formal Review Findings,bigboss/O05/surfaces/validation.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
validation.INV.3,validation,DOMAIN_INVARIANT,"Missing validator is unavailable, never PASS",bigboss/O05/surfaces/validation.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
validation.validate,validation,DOMAIN_COMMAND,Result for artifact A cannot satisfy changed artifact B,bigboss/O05/surfaces/validation.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,validation not run,QUEUED→RUNNING→technical outcome,Pinned digest/rules and deterministic validator identity,W05ValidationDomain
validation.inspect,validation,DOMAIN_COMMAND,TECHNICALLY_VALID leaves acceptance field absent,bigboss/O05/surfaces/validation.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,validation terminal,exact input and limitations shown,Read exact result,W05ValidationDomain
validation.findings,validation,DOMAIN_COMMAND,Inspect technical finding creates no W04 Finding,bigboss/O05/surfaces/validation.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,validation=TECHNICALLY_INVALID,technical findings table,Rules and source locators immutable,W05ValidationDomain
visualize.INV.1,visualize,DOMAIN_INVARIANT,representationId differs from canonicalObjectId,bigboss/O05/surfaces/visualize.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
visualize.INV.2,visualize,DOMAIN_INVARIANT,Moving geometry creates no relationship,bigboss/O05/surfaces/visualize.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
visualize.INV.3,visualize,DOMAIN_INVARIANT,All four views support domain-valid editing through same semantic command,bigboss/O05/surfaces/visualize.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
visualize.INV.4,visualize,DOMAIN_INVARIANT,Accessible navigator operates same representation selection,bigboss/O05/surfaces/visualize.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
visualize.select,visualize,DOMAIN_COMMAND,Keyboard navigator and pointer selection yield identical IDs,bigboss/O05/surfaces/visualize.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,selection any,same selection set and context reference,All representation IDs belong to view,VisualizeDomain
visualize.link,visualize,DOMAIN_COMMAND,Drawing edge without validated relation command causes zero canonical writes,bigboss/O05/surfaces/visualize.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,relation=DRAFT,relation=VALIDATED or REJECTED,"Knowledge adapter validates endpoint types, cycles and authority",VisualizeDomain
visualize.move,visualize,DOMAIN_COMMAND,Layout leaves canonical relationship digest identical,bigboss/O05/surfaces/visualize.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,view editable,geometry updated in one presentation transaction,View membership and finite coordinates,VisualizeDomain
visualize.edit,visualize,DOMAIN_COMMAND,Edit one canonical object updates all representations without cloned content,bigboss/O05/surfaces/visualize.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,canonical draft selected,canonical working draft changes; representations still reference it,Knowledge draft permission,VisualizeDomain
visualize.viewport,visualize,DOMAIN_COMMAND,Fit and minimap navigation are also keyboard reachable,bigboss/O05/surfaces/visualize.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,view loaded,viewport changes independently of UI scale,"Finite transform, adapter bounds; browser zoom gesture preserved",VisualizeDomain
